variant,feasible,score,rank,vpub,c0,kcash,readiness,resilience,scale,margin:STRESS:c0_limit,z_vpub,z_c0,z_kcash,z_readiness,z_resilience,z_scale,z_margin:STRESS:c0_limit
FIRE:A|AGRI:C|INFRA:A|TRANS:C,True,0.48414529202129847,73,1139.0,1161.3,1.2958199356913183,4.449999999999999,4.0,4.65,18.700000000000045,0.3728997289972899,0.32500000000000084,0.940169155480744,0.624999999999995,0.5000000000000004,0.37500000000000056,0.3250000000000008
FIRE:A|AGRI:C|INFRA:C|TRANS:A,True,0.48118432868814526,74,1108.6,1157.1,1.3048387096774194,4.449999999999999,4.0,4.65,22.90000000000009,0.2905149051490512,0.4000000000000016,0.9601990476228662,0.624999999999995,0.5000000000000004,0.37500000000000056,0.40000000000000163
AGRI:A|INFRA:A|TRANS:A|ENV:B,True,0.4787587832843632,75,1045.2,1141.0,1.0072289156626506,4.475,4.175,4.7,39.0,0.11869918699187007,0.6875,0.29923425531942416,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.6875
FIRE:A|AGRI:B|INFRA:B|TRANS:A,True,0.4780849226264421,76,1214.6,1168.5,1.1896144767899293,4.449999999999999,4.0,4.65,11.5,0.5777777777777774,0.1964285714285714,0.7042963095731097,0.624999999999995,0.5000000000000004,0.37500000000000056,0.19642857142857142
FIRE:A|AGRI:B|INFRA:A|TRANS:B,True,0.473159811144239,77,1229.0,1171.5,1.1798900235663787,4.449999999999999,4.0,4.65,8.5,0.6168021680216801,0.1428571428571429,0.682699166822997,0.624999999999995,0.5000000000000004,0.37500000000000056,0.14285714285714285
FIRE:A|AGRI:B|INFRA:A|TRANS:C,True,0.47254706749963143,78,1185.0,1166.5,1.2184273232724385,4.449999999999999,4.0,4.65,13.5,0.497560975609756,0.2321428571428571,0.7682870702066044,0.624999999999995,0.5000000000000004,0.37500000000000056,0.23214285714285715
FLOOD:C|AGRI:A|TRANS:B|ENV:A,True,0.47009889562303936,79,1142.4,1150.2,1.0215654952076678,4.45,4.225,4.6,29.799999999999955,0.3821138211382116,0.523214285714285,0.3310745190200329,0.6249999999999994,1.0,0.12499999999999722,0.5232142857142849
FIRE:A|AGRI:B|INFRA:C|TRANS:A,True,0.4694680192991601,80,1154.6,1162.3,1.2270916334661355,4.449999999999999,4.0,4.65,17.700000000000045,0.4151761517615173,0.30714285714285794,0.7875297298999385,0.624999999999995,0.5000000000000004,0.37500000000000056,0.30714285714285794
FLOOD:C|AGRI:A|TRANS:C|ENV:A,True,0.46910746872743997,81,1098.4,1145.2,1.0589660743134088,4.45,4.225,4.6,34.799999999999955,0.26287262872628747,0.6124999999999992,0.4141378673970282,0.6249999999999994,1.0,0.12499999999999722,0.6124999999999992
FIRE:A|AGRI:A|INFRA:B|TRANS:B,True,0.46207634291554167,82,1216.3999999999999,1169.0,1.1438679245283019,4.449999999999999,4.0,4.65,11.0,0.5826558265582651,0.1875,0.6026972996537501,0.624999999999995,0.5000000000000004,0.37500000000000056,0.1875
FIRE:A|AGRI:A|INFRA:B|TRANS:C,True,0.46134025607892487,83,1172.4,1164.0,1.1820349761526232,4.449999999999999,4.0,4.65,16.0,0.46341463414634165,0.2767857142857143,0.6874629150906277,0.624999999999995,0.5000000000000004,0.37500000000000056,0.2767857142857143
FIRE:A|AGRI:A|INFRA:C|TRANS:B,True,0.45325536105573155,84,1156.4,1162.8,1.180732484076433,4.449999999999999,4.0,4.65,17.200000000000045,0.4200542005420056,0.29821428571428654,0.6845701964303904,0.624999999999995,0.5000000000000004,0.37500000000000056,0.29821428571428654
FIRE:A|AGRI:A|INFRA:C|TRANS:C,True,0.45282150494397727,85,1112.4,1157.8,1.2198067632850242,4.449999999999999,4.0,4.65,22.200000000000045,0.3008130081300815,0.38750000000000084,0.7713506833663532,0.624999999999995,0.5000000000000004,0.37500000000000056,0.3875000000000008
FIRE:A|INFRA:C|TRANS:C|ENV:A,True,0.4502528032882695,86,1242.4,1178.8,1.2721417069243157,4.4,4.025,4.625,1.2000000000000455,0.6531165311653118,0.012500000000000844,0.8875819225541335,0.37500000000000056,0.5555555555555569,0.2499999999999989,0.012500000000000813
FLOOD:C|AGRI:A|TRANS:A|ENV:B,True,0.4496558557872458,87,1117.2,1148.7,1.0015987210231814,4.45,4.225,4.6,31.299999999999955,0.3138211382113822,0.5499999999999992,0.28673009549221073,0.6249999999999994,1.0,0.12499999999999722,0.5499999999999992
AGRI:C|TRANS:A|ENV:A|SSA:B,True,0.44389409204411984,88,1001.4,1141.3,1.23861852433281,4.35,3.95,4.775,38.700000000000045,0.0,0.6821428571428579,0.8131299257967777,0.12499999999999722,0.3888888888888897,1.0,0.6821428571428579
AGRI:C|TRANS:B|ENV:A|SSA:A,True,0.4438080971119937,89,1023.0,1145.3,1.2392494136043783,4.35,3.95,4.775,34.700000000000045,0.058536585365853704,0.6107142857142865,0.8145310745651811,0.12499999999999722,0.3888888888888897,1.0,0.6107142857142865
AGRI:A|INFRA:A|TRANS:A|ENV:A,True,0.43612816782066466,90,1110.0,1155.0,0.9087301587301587,4.475,4.175,4.7,25.0,0.29430894308943084,0.4375,0.08047730669964538,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.4375
AGRI:B|TRANS:B|ENV:A|SSA:A,True,0.4331256891511838,91,1069.0,1150.5,1.1646058732612055,4.35,3.95,4.775,29.5,0.1831978319783198,0.5178571428571428,0.6487544330300892,0.12499999999999722,0.3888888888888897,1.0,0.5178571428571429
